"","capital","country","pop","lat","long","label","ISO3Code"
"1","Washington","USA",548359,38.91,-77.02,"both","USA"
"2","Abuja","Nigeria",178462,9.18,7.17,"death","NGA"
"3","Riyadh","Saudi Arabia",4328067,24.65,46.77,"death","SAU"
"4","'Amman","Jordan",1303197,31.95,35.93,"death","JOR"
"5","Tehran","Iran",7160094,35.67,51.43,"death","IRN"
"6","Baghdad","Iraq",5753612,33.33,44.44,"death","IRQ"
"7","al-Kuwayt","Kuwait",63596,29.38,47.99,"death","KWT"
"8","San'a","Yemen",1921589,15.38,44.21,"death","YEM"
"9","Damascus","Syria",1580909,33.5,36.32,"death","SYR"
"10","Muscat","Oman",24122,23.61,58.54,"death","OMN"
"11","Minsk","Belarus",1747482,53.91,27.55,"death","BLR"
"12","Addis Abeba","Ethiopia",2823167,9.03,38.74,"death","ETH"
"13","Jakarta","Indonesia",8556798,-6.18,106.83,"death","IDN"
"14","Kuala Lumpur","Malaysia",1482359,3.16,101.71,"death","MYS"
"15","Bangkok","Thailand",4935988,13.73,100.5,"death","THA"
"16","Beijing","China",7602069,39.93,116.4,"death","CHN"
"17","Tokyo","Japan",8372440,35.67,139.77,"death","JPN"
"18","Taipei","Taiwan",2491662,25.02,121.45,"death","TWN"
"19","Gaborone","Botswana",214412,-24.65,25.91,"death","BWA"
"20","Ni Dilli","India",321883,28.6,77.22,"death","IND"
"21","Islamabad","Pakistan",794431,33.72,73.06,"death","PAK"
"22","Dhaka","Bangladesh",6724976,23.7,90.39,"death","BGD"
"23","Cairo","Egypt",7836243,30.06,31.25,"death","EGY"
"24","Khartoum","Sudan",2090001,15.58,32.52,"death","SDN"
"25","Banjul","Gambia",34388,13.46,-16.6,"death","MLT"
"26","Tripoli","Libya",1164634,32.87,13.18,"death","ZMB"
"27","Kabul","Afghanistan",3120963,34.53,69.17,"death","LBY"
"28","Abu Dhabi","United Arab Emirates",619316,24.48,54.37,"death","AFG"
"29","Manama","Bahrain",147894,26.21,50.58,"death","ARE"
"30","Basseterre","Saint Kitts and Nevis",12883,17.31,-62.73,"death","KNA"
"31","Mogadishu","Somalia",2723378,2.05,45.33,"death","SOM"
"32","Singapore","Singapore",3601745,1.3,103.85,"death","SGP"
"33","Ha Noi","Vietnam",1452055,21.03,105.84,"death","VNM"
"34","Malabo","Equatorial Guinea",161409,3.74,8.79,"death","GNQ"
"35","Ramallah","Palestine",4550368,31.9,35.2,"death","PSE"
"36","Juba","South Sudan",11739000,4.85,31.6,"death","SSD"
"37","Pyongyang","North Korea",24895000,39.03,125.75,"death","PRK"
"38","Amsterdam","Netherlands",744159,52.37,4.89,"gay","NLD"
"39","Brussels","Belgium",1031925,50.83,4.33,"gay","BEL"
"40","Ottawa","Canada",885542,45.42,-75.71,"gay","CAN"
"41","Madrid","Spain",3146804,40.42,-3.71,"gay","ESP"
"42","Pretoria","South Africa",1687779,-25.73,28.22,"gay","ZAF"
"43","Oslo","Norway",821445,59.91,10.75,"gay","NOR"
"44","Stockholm","Sweden",1260712,59.33,18.07,"gay","SWE"
"45","Lisbon","Portugal",508209,38.72,-9.14,"gay","PRT"
"46","Reykjavik","Iceland",114576,64.14,-21.92,"gay","ISL"
"47","Buenos Aires","Argentina",11595183,-34.61,-58.37,"gay","ARG"
"48","Mexico City","Mexico",8659409,19.43,-99.14,"gay","MEX"
"49","Copenhagen","Denmark",1091978,55.68,12.57,"gay","DNK"
"50","Montevideo","Uruguay",1271664,-34.87,-56.17,"gay","URY"
"51","Wellington","New Zealand",182254,-41.28,174.78,"gay","NZL"
"52","Paris","France",2141839,48.86,2.34,"gay","FRA"
"53","Brasilia","Brazil",2260541,-15.78,-47.91,"gay","BRA"
"54","Luxemburg","Luxembourg",76380,49.62,6.12,"gay","LUX"
"55","Dublin","Ireland",1030431,53.33,-6.25,"gay","IRL"
"56","Bogota","Colombia",7235084,4.63,-74.09,"gay","COL"
"57","Helsinki","Finland",558341,60.17,24.94,"gay","FIN"
"58","Jerusalem","Israel",731731,31.78,35.22,"gay","ISR"
"59","Berlin","Germany",3378275,52.52,13.38,"gay","DEU"
"60","Ljubljana","Slovenia",254188,46.06,14.51,"gay","SVN"
"61","Bern","Switzerland",120596,46.95,7.44,"gay","CHE"
"62","Quito","Ecuador",1399814,-0.19,-78.5,"gay","ECU"
"63","Budapest","Hungary",1700019,47.51,19.08,"gay","HUN"
"64","Vienna","Austria",1570976,48.22,16.37,"gay","AUT"
"65","San Jose","Costa Rica",32187,10.97,-85.13,"gay","CRI"
"66","Zagreb","Croatia",700717,45.8,15.97,"gay","HRV"
"67","Santiago","Chile",4893495,-33.46,-70.64,"gay","CHL"
"68","Nicosia","Cyprus",202488,35.16,33.38,"gay","CYP"
"69","Tallinn","Estonia",392386,59.44,24.74,"gay","EST"
"70","Athens","Greece",725049,37.98,23.73,"gay","GRC"
"71","Canberra","Australia",324736,-35.31,149.13,"gay","AUS"
"72","Rome","Italy",2561181,41.89,12.5,"gay","ITA"
"73","London","UK",7489022,51.52,-0.1,"gay","GBR"
"74","Andorra la Vella","Andorra",20314,42.51,1.51,"gay","AND"
"75","Prague","Czech Republic",1168374,50.08,14.43,"gay","CZE"
"76","Vaduz","Liechtenstein",5248,47.14,9.53,"gay","LIE"
"77","Valletta","Malta",6748,35.91,14.52,"gay","AND"
